TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
DEN,Julius Hodge,SG,14,0,2.4,0.9,0.4,0.1,0.5,0.4,0.14,0.0,0.6,0.5,0.8,4.0,0.4,0.9,0.385,0.0,0.0,0.0,0.2,0.6,0.38,0.4,0.9,0.385,1.0,0.38
DEN,Charles Smith,SG,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,Francisco Elson,C,72,54,21.9,4.9,1.4,3.3,4.7,0.7,0.75,0.63,0.9,2.9,0.7,10.1,2.1,3.9,0.532,0.0,0.1,0.2,0.7,1.0,0.66,2.1,3.8,0.5379999999999999,1.239,0.53
DEN,Howard Eisley,PG,19,0,14.8,4.8,0.1,0.9,1.0,2.3,0.42,0.11,0.9,1.2,2.4,9.2,1.6,4.5,0.349,0.6,2.0,0.316,1.1,1.3,0.83,1.0,2.5,0.375,1.07,0.42
MIN,Wally Szczerbiak,SG,40,40,38.9,20.1,0.9,3.9,4.8,2.8,0.53,0.38,2.2,2.3,1.3,17.7,7.3,14.8,0.495,1.5,3.6,0.406,4.1,4.6,0.9,5.8,11.2,0.523,1.364,0.54
MIN,Mark Madsen,PF,62,7,10.9,1.2,0.8,1.5,2.3,0.2,0.37,0.27,0.4,1.8,0.4,5.3,0.4,1.1,0.409,0.0,0.1,0.0,0.3,0.8,0.43,0.4,1.0,0.45799999999999996,1.121,0.41
MIN,Ricky Davis,SG,36,36,40.6,19.1,0.7,3.9,4.6,4.8,1.17,0.22,2.7,2.8,1.8,15.6,7.1,16.5,0.429,0.9,3.3,0.282,4.1,5.0,0.81,6.2,13.2,0.46399999999999997,1.158,0.46
MIN,Trenton Hassell,SF,77,67,32.6,9.2,1.1,1.7,2.8,2.6,0.56,0.38,1.6,2.6,1.6,9.6,3.7,8.0,0.46399999999999997,0.1,0.3,0.304,1.7,2.3,0.74,3.6,7.7,0.47,1.153,0.47
MIN,Eddie Griffin,PF,70,27,19.4,4.6,1.5,4.0,5.6,0.6,0.19,2.11,0.6,1.8,0.9,12.2,1.9,5.3,0.35100000000000003,0.2,1.2,0.195,0.6,1.1,0.59,1.7,4.1,0.396,0.865,0.37
MIN,Richie Frahm,SG,25,0,9.0,2.6,0.1,0.8,0.9,0.6,0.12,0.08,0.2,0.9,3.8,9.4,1.0,2.6,0.369,0.6,1.9,0.313,0.1,0.2,0.6,0.4,0.7,0.529,1.015,0.48
MIN,Kevin Garnett,PF,76,76,38.9,21.8,2.8,9.9,12.7,4.1,1.37,1.41,2.4,2.7,1.7,26.9,8.2,15.7,0.526,0.1,0.4,0.267,5.2,6.4,0.81,8.1,15.3,0.532,1.39,0.53
