TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
MIL,Michael Redd,SG,67.0,8.0,21.1,11.4,1.1,2.2,3.3,1.4,0.63,0.1,0.9,1.4,1.6,4.4,9.1,0.483,1.3,3.0,0.444,1.4,1.7,0.79,3.1,6.1,0.501,1.2590000000000001,0.56
MIL,Joel Przybilla,C,71.0,62.0,15.9,2.7,1.1,2.9,4.0,0.3,0.28,1.66,0.6,2.8,0.5,1.1,2.0,0.535,0.0,0.0,0.0,0.5,1.3,0.42,1.1,2.0,0.539,1.338,0.54
MIL,Tim Thomas,PF,74.0,22.0,26.9,11.7,0.9,3.2,4.1,1.4,0.88,0.43,1.7,2.7,0.8,4.3,10.2,0.42,1.3,3.9,0.326,1.9,2.4,0.79,3.0,6.3,0.478,1.1540000000000001,0.48
MIL,Darvin Ham,SF,70.0,2.0,17.3,4.3,1.3,1.6,2.9,1.0,0.36,0.53,1.2,2.5,0.9,1.7,3.0,0.569,0.0,0.1,0.14300000000000002,0.9,1.8,0.5,1.7,2.9,0.583,1.436,0.57
DAL,Adrian Griffin,SG,58.0,34.0,23.8,7.2,1.2,2.8,3.9,1.8,1.29,0.21,0.7,2.4,2.5,3.1,6.2,0.499,0.3,0.9,0.29600000000000004,0.7,0.8,0.84,2.8,5.3,0.534,1.156,0.52
DAL,Darrick Martin,PG,3.0,0.0,7.3,0.3,0.0,0.3,0.3,1.0,0.67,0.0,0.3,1.3,3.0,0.0,3.3,0.0,0.0,0.7,0.0,0.3,0.7,0.5,0.0,2.6,0.0,0.1,0.0
DAL,Tim Hardaway,G,54.0,2.0,23.6,9.6,0.2,1.6,1.8,3.7,0.74,0.15,1.4,1.6,2.8,3.3,9.1,0.36200000000000004,1.8,5.2,0.341,1.2,1.4,0.83,1.5,3.9,0.391,1.0490000000000002,0.46
DAL,Steve Nash,PG,82.0,82.0,34.6,17.9,0.6,2.5,3.1,7.7,0.65,0.05,2.8,2.0,2.8,6.4,13.3,0.483,1.9,4.2,0.455,3.2,3.6,0.89,4.5,9.1,0.495,1.347,0.55
DAL,Greg Buckner,SG,44.0,16.0,20.1,5.8,1.5,2.4,3.9,1.1,0.7,0.43,0.6,2.8,1.8,2.4,4.5,0.525,0.1,0.4,0.313,0.9,1.3,0.69,2.3,4.1,0.544,1.278,0.54
DAL,Danny Manning,F,41.0,10.0,13.5,4.0,0.6,2.0,2.6,0.7,0.51,0.51,0.6,2.0,1.2,1.7,3.6,0.47700000000000004,0.0,0.2,0.14300000000000002,0.5,0.8,0.67,1.7,3.4,0.493,1.107,0.48
DAL,Raef LaFrentz,C,27.0,25.0,29.1,10.8,2.2,5.2,7.4,1.1,0.89,2.22,1.3,4.0,0.9,4.2,9.7,0.43700000000000006,1.1,3.5,0.305,1.3,1.7,0.76,3.1,6.2,0.512,1.119,0.49
DAL,Eduardo Najera,PF,62.0,11.0,21.9,6.5,2.4,3.1,5.5,0.6,0.9,0.48,0.6,2.5,1.0,2.4,4.8,0.5,0.0,0.0,0.0,1.6,2.4,0.68,2.4,4.8,0.503,1.3330000000000002,0.5
